Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/cotizaciones,8,0,22,19.56365800003823,5.3167109999776585,24.878985000214016,461.0,0.817105170557611,0.0,23,23,25,25,25,25,25,25,25,25,25
GET,/v1/polizas/[norte],25,0,20,19.201813599866,5.180856999686512,26.39968299990869,304.0,2.5534536579925344,0.0,20,23,24,25,26,26,26,26,26,26,26
GET,/v1/polizas/[sur],39,0,29,24.087093307617835,3.150548000121489,50.59851899932255,298.87179487179486,3.9833877064683536,0.0,29,30,36,37,38,40,51,51,51,51,51
POST,/v1/sesiones,8,0,51,61.46728387511757,42.369545000838116,102.8575259997524,428.125,0.817105170557611,0.0,59,70,74,74,100,100,100,100,100,100,100
,Aggregated,80,0,24,25.8461189249374,3.150548000121489,102.8575259997524,329.6125,8.17105170557611,0.0,25,29,34,37,45,59,74,100,100,100,100
