Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/cotizaciones,39,0,25,22.83361535885958,4.88172199948167,40.718894999372424,461.0,1.1576090684538003,0.0,25,26,27,28,30,39,41,41,41,41,41
GET,/v1/polizas/[norte],64,0,23,22.248676515545185,4.082228999322979,31.51263099971402,304.0,1.8996661636164929,0.0,24,26,27,28,29,30,30,32,32,32,32
GET,/v1/polizas/[sur],361,0,26,24.543909941838596,3.2771650003269315,53.081570000358624,302.06094182825484,10.71530445414928,0.0,26,30,32,33,36,38,40,43,53,53,53
POST,/v1/sesiones,8,0,48,55.033663250469544,41.13941499963403,83.2476260002295,428.125,0.2374582704520616,0.0,54,57,70,70,83,83,83,83,83,83,83
,Aggregated,472,0,25,24.608150616520984,3.2771650003269315,83.2476260002295,317.59322033898303,14.010037956671635,0.0,25,29,31,32,36,39,43,53,83,83,83
