Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/cotizaciones,20,0,20,18.432215150187403,5.208658998526516,28.440268000849755,461.0,1.077609756805037,0.0,20,22,24,25,28,28,28,28,28,28,28
GET,/v1/polizas/[norte],34,0,17,16.71429047040446,4.404527000588132,29.094372999679763,304.0,1.8319365865685628,0.0,17,21,23,24,27,29,29,29,29,29,29
GET,/v1/polizas/[sur],161,0,20,20.198959459555923,3.879013000187115,40.11180000088643,301.5776397515528,8.674758542280548,0.0,20,25,27,28,35,37,38,39,40,40,40
POST,/v1/sesiones,8,0,53,62.22206687539256,45.30284000065876,99.07504800139577,428.125,0.43104390272201476,0.0,58,73,75,75,99,99,99,99,99,99,99
,Aggregated,223,0,20,21.016767654659837,3.879013000187115,99.07504800139577,320.7847533632287,12.015348788376162,0.0,20,24,27,28,35,38,53,73,99,99,99
