Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/cotizaciones,24,0,19,19.31226908300232,4.819560999749228,32.53816799951892,461.0,1.270182345449794,0.0,21,24,25,25,28,30,33,33,33,33,33
GET,/v1/polizas/[norte],31,0,20,20.998326451644385,5.15147199985222,43.89809399981459,304.0,1.640652196205984,0.0,20,25,26,27,29,39,44,44,44,44,44
GET,/v1/polizas/[sur],169,0,17,18.13777752655509,4.3219590006629005,39.92304699931992,301.61538461538464,8.944200682542299,0.0,17,21,23,24,30,33,36,40,40,40,40
POST,/v1/sesiones,8,0,57,70.33324962526422,43.44354000022577,122.93505900015589,428.125,0.4233941151499313,0.0,71,74,93,93,120,120,120,120,120,120,120
,Aggregated,232,0,18,20.441349038719636,4.3219590006629005,122.93505900015589,322.7844827586207,12.278429339348008,0.0,19,22,25,26,32,39,57,74,120,120,120
