Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/cotizaciones,17,0,20,16.565115176383507,5.477844999404624,26.909659000011743,461.0,0.8970818331260365,0.0,20,22,23,23,26,27,27,27,27,27,27
GET,/v1/polizas/[norte],39,0,20,18.473226846300605,5.00494100015203,29.844540000340203,304.0,2.058011264230319,0.0,20,22,24,24,25,26,30,30,30,30,30
GET,/v1/polizas/[sur],164,0,21,19.714754384128867,4.6506750004482456,43.4667259996786,301.5853658536585,8.65420121368647,0.0,21,24,27,27,31,36,39,42,43,43,43
POST,/v1/sesiones,8,0,84,90.18500337538171,69.75112699910824,127.04220900013752,428.125,0.4221561567651937,0.0,87,100,100,100,130,130,130,130,130,130,130
,Aggregated,228,0,21,21.740186627212417,4.6506750004482456,127.04220900013752,318.32456140350877,12.03145046780802,0.0,21,24,26,27,31,39,84,100,130,130,130
