Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/cotizaciones,32,0,21,19.54942375016344,5.103292000057991,27.597394000622444,461.0,0.9467292490075363,0.0,21,23,25,25,26,27,28,28,28,28,28
GET,/v1/polizas/[norte],69,0,22,21.180384797079952,4.561705998639809,49.79331200047454,304.0,2.0413849431725,0.0,22,25,26,27,29,31,36,50,50,50,50
GET,/v1/polizas/[sur],361,0,26,23.791934387886197,2.9180940000514966,46.14065500027209,302.06094182825484,10.680289340366269,0.0,26,29,31,32,36,38,39,41,46,46,46
POST,/v1/sesiones,8,0,53,61.318672500192406,41.431216999626486,98.42021999975259,428.125,0.23668231225188407,0.0,58,69,76,76,98,98,98,98,98,98,98
,Aggregated,470,0,25,23.75843788304724,2.9180940000514966,98.42021999975259,315.3127659574468,13.905085844798188,0.0,25,28,30,31,36,38,43,53,98,98,98
