Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/cotizaciones,9,0,18,18.49575422208242,5.589484999291017,26.58783399965614,461.0,0.9551190592609864,0.0,18,22,25,26,27,27,27,27,27,27,27
GET,/v1/polizas/[norte],20,0,16,14.744895250078116,4.485487000238209,28.66296100000909,304.0,2.1224867983577473,0.0,16,17,22,23,26,29,29,29,29,29,29
GET,/v1/polizas/[sur],44,0,17,15.867402500175972,3.1415000003107707,33.39428900017083,299.22727272727275,4.669470956387045,0.0,17,19,20,22,28,30,33,33,33,33,33
POST,/v1/sesiones,8,0,71,75.45866949976698,58.42532899987418,112.98595700009173,428.125,0.848994719343099,0.0,72,76,88,88,110,110,110,110,110,110,110
,Aggregated,81,0,17,21.767836530940528,3.1415000003107707,112.98595700009173,331.1111111111111,8.596071533348876,0.0,17,21,23,26,33,71,88,110,110,110,110
