Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/cotizaciones,41,0,19,18.88163131692769,5.71968100121012,28.014367000650964,461.0,1.2043720817127197,0.0,19,22,24,24,25,26,28,28,28,28,28
GET,/v1/polizas/[norte],62,0,18,17.199828064510637,4.402099999424536,33.94167999977071,304.0,1.8212455869802102,0.0,18,21,23,24,27,30,33,34,34,34,34
GET,/v1/polizas/[sur],369,0,21,21.384055425475776,4.762099999425118,46.564600999772665,302.0650406504065,10.839348735414477,0.0,21,25,26,28,32,35,38,41,47,47,47
POST,/v1/sesiones,8,0,53,61.83745637486027,45.04934200122079,98.1799149994913,428.125,0.23499943057809164,0.0,57,72,75,75,98,98,98,98,98,98,98
,Aggregated,480,0,21,21.30406734790237,4.402099999424536,98.1799149994913,317.9916666666667,14.099965834685499,0.0,21,24,26,27,32,35,44,53,98,98,98
