Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/cotizaciones,10,0,21,20.90543410013197,6.1110860006010626,27.681685000061407,461.0,1.002404473105303,0.0,25,25,26,27,28,28,28,28,28,28,28
GET,/v1/polizas/[norte],18,0,19,18.15433388896458,5.322925000655232,27.918195999518503,304.0,1.8043280515895455,0.0,23,25,26,26,27,28,28,28,28,28,28
GET,/v1/polizas/[sur],40,0,18,18.33039410003039,3.9327740014414303,34.56201999870245,298.95,4.009617892421212,0.0,18,22,23,25,27,34,35,35,35,35,35
POST,/v1/sesiones,8,0,54,56.33057249974627,43.809921999127255,76.90121899941005,428.125,0.8019235784842424,0.0,57,60,68,68,77,77,77,77,77,77,77
,Aggregated,76,0,21,22.62753546055089,3.9327740014414303,76.90121899941005,335.0657894736842,7.618273995600304,0.0,21,25,26,27,44,57,68,77,77,77,77
