Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/cotizaciones,39,0,17,19.020347794745856,4.550218000076711,44.995044998358935,461.0,1.1485684554507865,0.0,17,20,23,23,25,41,45,45,45,45,45
GET,/v1/polizas/[norte],65,0,18,17.847668815403058,4.718221000075573,30.098602999714785,304.0,1.914280759084644,0.0,18,20,22,23,25,26,28,30,30,30,30
GET,/v1/polizas/[sur],371,0,19,20.121091595715406,2.5459709995629964,50.13912800131948,302.0700808625337,10.926125563390814,0.0,19,22,24,26,33,40,45,48,50,50,50
POST,/v1/sesiones,8,0,52,59.888361500043175,42.871437000940205,98.5490960010793,428.125,0.23560378573349464,0.0,56,69,72,72,99,99,99,99,99,99,99
,Aggregated,483,0,19,20.384935633554967,2.5459709995629964,98.5490960010793,317.25051759834366,14.224578563659739,0.0,19,22,23,25,33,41,46,52,99,99,99
