Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/cotizaciones,18,0,21,20.94870044432658,5.740493999837781,34.38327699950605,461.0,0.973125510932168,0.0,22,24,27,27,29,34,34,34,34,34,34
GET,/v1/polizas/[norte],37,0,21,19.070469243210077,4.9926060000871075,28.480293000029633,304.0,2.0003135502494565,0.0,21,24,24,25,26,28,28,28,28,28,28
GET,/v1/polizas/[sur],167,0,24,22.391479664652444,5.333384999175905,42.046956999911345,301.6047904191617,9.028442240315114,0.0,24,27,29,30,35,37,40,42,42,42,42
POST,/v1/sesiones,8,0,62,67.60573200017461,47.93940400122665,103.25009299958765,428.125,0.4325002270809636,0.0,66,77,77,77,100,100,100,100,100,100,100
,Aggregated,230,0,24,23.3169866521522,4.9926060000871075,103.25009299958765,318.8652173913043,12.434381528577703,0.0,24,26,28,29,35,40,62,77,100,100,100
