Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/cotizaciones,16,0,21,19.22322743746463,5.1478420000421465,26.351642000008724,461.0,1.6329337780977462,0.0,22,25,25,25,26,26,26,26,26,26,26
GET,/v1/polizas/[norte],16,0,19,17.952827250098835,5.222984000283759,28.045660000316275,304.0,1.6329337780977462,0.0,19,21,24,24,27,28,28,28,28,28,28
GET,/v1/polizas/[sur],41,0,18,18.882936170884044,3.9773040007275995,42.73323400047957,299.0243902439024,4.184392806375475,0.0,18,25,28,28,30,33,43,43,43,43,43
POST,/v1/sesiones,8,0,55,68.44517237493619,41.51419299978443,131.52447399988887,428.125,0.8164668890488731,0.0,58,74,94,94,130,130,130,130,130,130,130
,Aggregated,81,0,21,23.66146465440433,3.9773040007275995,131.52447399988887,344.75308641975306,8.266727251619841,0.0,21,25,27,28,42,55,94,130,130,130,130
