Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/cotizaciones,20,0,20,19.43561444968509,5.24690299971553,26.48065599896654,461.0,1.0659614989346557,0.0,20,21,23,25,26,26,26,26,26,26,26
GET,/v1/polizas/[norte],41,0,20,18.602020512090103,4.229250000207685,31.888385999991442,304.0,2.1852210728160446,0.0,20,23,24,24,25,31,32,32,32,32,32
GET,/v1/polizas/[sur],168,0,19,18.897471666626924,4.481336000026204,37.42429000158154,301.60714285714283,8.954076591051109,0.0,19,23,24,26,30,31,34,36,37,37,37
POST,/v1/sesiones,8,0,51,67.21948337508366,43.3798560006835,123.13150900081382,428.125,0.4263845995738623,0.0,56,72,99,99,120,120,120,120,120,120,120
,Aggregated,237,0,19,20.522895514697844,4.229250000207685,123.13150900081382,319.74261603375527,12.631643762375672,0.0,19,23,24,26,30,34,51,72,120,120,120
